keys,en
item.wpn_dvergar_hammer.name,Dvergar Hammer
item.wpn_dvergar_hammer.desc,"Short-hafted and head-heavy. Opens shields, doors, and the occasional wall. Slow enough to get you killed."
item.wpn_ash_spear.name,Ash Spear
item.wpn_ash_spear.desc,"Reaches further than anything else you own, and is useless the moment a corridor narrows."
item.wpn_seax.name,Seax
item.wpn_seax.desc,"A working blade, not a warrior's. Quick, light, and honest about what it cannot do."
item.arm_mail_byrnie.name,Mail Byrnie
item.arm_mail_byrnie.desc,"Riveted rings on a leather shirt. Turns an edge, and rings like a dropped purse when you run."
item.glt_hoard_coin.name,Hoard-Coin
item.glt_hoard_coin.desc,"Struck by a mint that no longer exists, for a king nobody remembers. She remembers."
item.glt_raw_gemstone.name,Raw Gemstone
item.glt_raw_gemstone.desc,"Uncut, unset, and weighs nothing at all. It catches every light in the dark, including the ones looking for it."
item.glt_gilded_torc.name,Gilded Torc
item.glt_gilded_torc.desc,"Neck-ring of twisted gold. Worn by someone who wanted to be seen, and buried by someone who agreed."
item.glt_altar_plate.name,Altar-Plate
item.glt_altar_plate.desc,"A slab of offering-gold the size of a shield. Carrying it is a decision you make once and regret continuously."
item.mat_bog_iron.name,Bog Iron
item.mat_bog_iron.desc,"Dull, rust-flecked, and worth almost nothing to her. The forge disagrees."
item.rlc_regin_blade.name,Regin's Blade
item.rlc_regin_blade.desc,"Reforged by a smith who knew what it would be used for. She wants it badly — which is the problem, because so do you."
item.con_waystone.name,Waystone
item.con_waystone.desc,"Grey, unremarkable, and the only thing down here that is worth more than what you came for. Spending it ends the run with whatever is in your hands."
item.con_ember.name,Ember
item.con_ember.desc,"A piece of her fire, going out. It is heavier than it has any right to be and it will not stop making noise, and it is someone you know."
class.huskarl.name,Húskarl
class.huskarl.desc,"Shield-sworn. The last one standing in a doorway, and the one who decides where the doorway is."
class.huskarl.exit,"Gets out by refusing to be stopped — heavy, armoured, and still moving under weight that would pin anyone else. Loud. The Hunt finds them easily."
item.wpn_yew_bow.name,Yew Bow
item.wpn_yew_bow.desc,"Quieter than a blade and slower to bring to bear. What it buys you is that nothing has to know where you were standing."
class.veidimadr.name,Veiðimaðr
class.veidimadr.desc,"The professional who was never seen. Knows which way you came, how long ago, and where the ground gives you away."
class.veidimadr.exit,"Gets out by never having been noticed — a bow, a trap, and a route chosen before anything looked up. Poor in a straight fight. Cornered is usually dead."
node.hrd_sure_grip.name,Sure Grip
node.hrd_sure_grip.desc,"What you set down lands at your feet, instead of skidding away into the dark."
node.hrd_coin_sense.name,Coin-Sense
node.hrd_coin_sense.desc,"Gold knows your hands. Taking or setting down anything gilt makes no sound at all."
node.hrd_tally.name,Tally
node.hrd_tally.desc,"You know what a thing is worth to her before you decide whether to carry it."
node.hrd_steady_step.name,Steady Step
node.hrd_steady_step.desc,"A drop under a full load lands quiet. The weight is still there; the noise is not."
node.hrd_ready_hand.name,Ready Hand
node.hrd_ready_hand.desc,"You can take what is at your feet without closing your bag first."
node.hrd_scavenger.name,Scavenger
node.hrd_scavenger.desc,"Raw stock and scrap weigh nothing to you. It is not treasure; it is ballast you can sell."
node.hrd_long_haul.name,Long Haul
node.hrd_long_haul.desc,"No load is heavy enough to keep you off a ledge. It will still slow you and it will still be heard."
node.hrd_close_the_lid.name,Close the Lid
node.hrd_close_the_lid.desc,"Your bag shuts the instant you let go of it."
node.hrd_ballast.name,Ballast
node.hrd_ballast.desc,"Weight makes you slow. It no longer makes you loud."
node.hrd_quiet_hands.name,Quiet Hands
node.hrd_quiet_hands.desc,"Nothing you take, set down or rummage for makes a sound."
node.hrd_her_reckoning.name,Her Reckoning
node.hrd_her_reckoning.desc,"The Gullsjúkr stops singling you out for being the richest thing in the room. It can still hear you."
node.hrd_weight_of_kings.name,Weight of Kings
